,Acc,F1,Loss,CV,layers
W2V,65.78369074743816,44.73394395588482,0.6649498151460193,9.0,"[200, 36, 8]"
BERT + W2V,66.3699844603126,45.486365337111955,0.6969735755036051,9.0,"[968, 80, 12]"
BERT + W2V,64.82875666945014,43.531413077633395,0.6863507976399695,9.0,"[968, 80, 12, 4]"
BERT + W2V,65.69759867214894,45.23862830816514,0.7265463054204505,9.0,"[968, 64, 12]"
RPT + W2V,52.37197131530062,33.83873699644633,1.4812360515799814,9.0,"[301, 48, 8]"
RPT + W2V,54.02825597280055,34.706856951013,1.4653425112205951,9.0,"[301, 52, 12]"
RPT + W2V,49.23817922752886,32.48179675168873,1.8431397822193278,9.0,"[301, 52]"
RPT + W2V,48.11661130348879,31.45688640786172,0.8595664641012788,9.0,"[301, 30, 5]"
