,Acc,F1,Train_size,Test_size,Features,CV,CLF
4,63.06306306306306,54.64611481964972,5204,1221,RPT,9,RandomForestClassifier
5,50.0,33.33333333333333,6411,14,RPT,9,RandomForestClassifier
6,59.227467811158796,38.15829910876428,6192,233,RPT,9,RandomForestClassifier
7,52.10084033613446,35.77312754474008,6187,238,RPT,9,RandomForestClassifier
8,44.20289855072464,30.65326633165829,6287,138,RPT,9,RandomForestClassifier
0,83.5016835016835,77.24744993923376,4346,2079,RPT + BERT,9,RandomForestClassifier
1,75.94050743657043,59.21167883211679,5282,1143,RPT + BERT,9,RandomForestClassifier
2,62.68656716417911,59.783913565426175,5956,469,RPT + BERT,9,RandomForestClassifier
3,70.56179775280899,69.77043263621326,5535,890,RPT + BERT,9,RandomForestClassifier
4,67.23996723996723,61.95716520124379,5204,1221,RPT + BERT,9,RandomForestClassifier
5,28.57142857142857,22.222222222222225,6411,14,RPT + BERT,9,RandomForestClassifier
6,6.866952789699571,6.757030889810974,6192,233,RPT + BERT,9,RandomForestClassifier
7,57.98319327731093,56.63265306122449,6187,238,RPT + BERT,9,RandomForestClassifier
8,54.347826086956516,52.79874043107661,6287,138,RPT + BERT,9,RandomForestClassifier
0,56.22895622895623,54.78922716627635,4346,2079,RP,9,GaussianNB
1,53.28083989501312,47.44094488188976,5282,1143,RP,9,GaussianNB
2,58.63539445628998,55.98928101540128,5956,469,RP,9,GaussianNB
3,66.51685393258427,65.83202786824423,5535,890,RP,9,GaussianNB
4,63.8001638001638,63.67734553775743,5204,1221,RP,9,GaussianNB
5,78.57142857142857,44.0,6411,14,RP,9,GaussianNB
6,56.22317596566524,38.53196772191186,6192,233,RP,9,GaussianNB
7,57.14285714285714,56.99404761904761,6187,238,RP,9,GaussianNB
8,49.275362318840585,44.09722222222222,6287,138,RP,9,GaussianNB
0,46.03174603174603,45.58201058201058,4346,2079,Thread,9,GaussianNB
1,55.2930883639545,49.86811985171745,5282,1143,Thread,9,GaussianNB
2,49.040511727078886,44.05547985885476,5956,469,Thread,9,GaussianNB
3,58.876404494382015,56.869111112288074,5535,890,Thread,9,GaussianNB
4,52.4979524979525,49.84134629005298,5204,1221,Thread,9,GaussianNB
5,92.85714285714286,48.14814814814815,6411,14,Thread,9,GaussianNB
6,80.68669527896995,44.655581947743464,6192,233,Thread,9,GaussianNB
7,55.88235294117647,46.65158081250134,6187,238,Thread,9,GaussianNB
8,43.47826086956522,31.352040816326532,6287,138,Thread,9,GaussianNB
0,73.78547378547378,69.79087931468884,4346,2079,W2V,9,GaussianNB
1,69.02887139107612,63.012008102909874,5282,1143,W2V,9,GaussianNB
2,58.2089552238806,58.20876523004183,5956,469,W2V,9,GaussianNB
3,67.64044943820224,66.58741083719184,5535,890,W2V,9,GaussianNB
4,72.64537264537265,72.09811165845649,5204,1221,W2V,9,GaussianNB
5,71.42857142857143,41.666666666666664,6411,14,W2V,9,GaussianNB
6,15.879828326180256,14.556204161053737,6192,233,W2V,9,GaussianNB
7,59.2436974789916,55.735787556322514,6187,238,W2V,9,GaussianNB
8,47.10144927536232,45.30647700743798,6287,138,W2V,9,GaussianNB
0,76.71957671957672,72.66138497652582,4346,2079,BERT,9,GaussianNB
1,70.34120734908137,64.11828057558621,5282,1143,BERT,9,GaussianNB
2,73.77398720682304,73.77207938348222,5956,469,BERT,9,GaussianNB
