,Acc,F1,Loss,Train_size,Test_size,Features,CV,layers
0,76.71957671957672,49.42078604416276,0.5498514939753582,4346,2079,BERT + W2V,9,"[968, 80, 12, 4]"
1,63.167104111986006,39.011801846447575,0.6844451971880094,5282,1143,BERT + W2V,9,"[968, 80, 12, 4]"
2,67.590618336887,41.532014538411104,0.646494315949076,5956,469,BERT + W2V,9,"[968, 80, 12, 4]"
3,71.12359550561797,44.91052019141912,0.615571183761519,5535,890,BERT + W2V,9,"[968, 80, 12, 4]"
4,70.5978705978706,45.099921463557884,0.6434782277746927,5204,1221,BERT + W2V,9,"[968, 80, 12, 4]"
5,78.57142857142857,64.83516483516483,0.3656778803893498,6411,14,BERT + W2V,9,"[968, 80, 12, 4]"
6,40.343347639484975,28.955107839228003,0.9212645906235527,6192,233,BERT + W2V,9,"[968, 80, 12, 4]"
7,58.82352941176471,40.568376534763104,0.9259330505082587,6187,238,BERT + W2V,9,"[968, 80, 12, 4]"
8,56.52173913043478,37.44902440554613,0.8244412385899088,6287,138,BERT + W2V,9,"[968, 80, 12, 4]"
0,76.57527657527658,50.07521578950159,0.5220611688894626,4346,2079,BERT + W2V,9,"[968, 64, 12]"
1,71.30358705161855,46.6596318039888,0.6214259254729028,5282,1143,BERT + W2V,9,"[968, 64, 12]"
2,67.16417910447761,41.538262732292544,0.6561483332216104,5956,469,BERT + W2V,9,"[968, 64, 12]"
3,70.4494382022472,44.65465620521806,0.6196899472662573,5535,890,BERT + W2V,9,"[968, 64, 12]"
4,71.99017199017199,44.872401236037675,0.6368248434363575,5204,1221,BERT + W2V,9,"[968, 64, 12]"
5,78.57142857142857,64.83516483516483,0.4430792076247079,6411,14,BERT + W2V,9,"[968, 64, 12]"
6,34.763948497854074,25.44210200862561,1.289853434705939,6192,233,BERT + W2V,9,"[968, 64, 12]"
7,61.76470588235294,50.55096164339862,0.8621488907257048,6187,238,BERT + W2V,9,"[968, 64, 12]"
8,58.69565217391305,38.519258519258514,0.8876849974411122,6287,138,BERT + W2V,9,"[968, 64, 12]"
0,54.64165464165465,34.685573632182596,3.580947030416299,4346,2079,RPT + W2V,9,"[301, 48, 8]"
1,50.65616797900262,33.12667987208673,0.9310218107251879,5282,1143,RPT + W2V,9,"[301, 48, 8]"
2,48.8272921108742,31.746344155725833,0.7276033856975499,5956,469,RPT + W2V,9,"[301, 48, 8]"
3,52.24719101123596,33.48689762172907,1.7426177757509638,5535,890,RPT + W2V,9,"[301, 48, 8]"
4,49.303849303849304,32.473414291596185,3.5551184292800304,5204,1221,RPT + W2V,9,"[301, 48, 8]"
5,71.42857142857143,41.458541458541454,0.650492753301348,6411,14,RPT + W2V,9,"[301, 48, 8]"
6,42.48927038626609,29.63102705591976,0.7244796701766902,6192,233,RPT + W2V,9,"[301, 48, 8]"
7,49.57983193277311,33.15175487444395,0.7237360417341986,6187,238,RPT + W2V,9,"[301, 48, 8]"
8,52.17391304347826,34.78840000579132,0.6951075671375662,6287,138,RPT + W2V,9,"[301, 48, 8]"
0,56.95045695045695,36.49240116411838,5.4985243791625615,4346,2079,RPT + W2V,9,"[301, 52, 12]"
1,52.84339457567804,33.78423462412968,0.7941324282193122,5282,1143,RPT + W2V,9,"[301, 52, 12]"
2,46.481876332622605,30.758107090729688,0.7175952629494006,5956,469,RPT + W2V,9,"[301, 52, 12]"
3,49.550561797752806,32.589388139949925,0.934272222036726,5535,890,RPT + W2V,9,"[301, 52, 12]"
4,47.91154791154791,31.68752623298083,0.7496150156008621,5204,1221,RPT + W2V,9,"[301, 52, 12]"
5,78.57142857142857,43.80952380952381,0.6297203046934945,6411,14,RPT + W2V,9,"[301, 52, 12]"
6,58.798283261802574,37.693951256183034,0.6939620639121583,6192,233,RPT + W2V,9,"[301, 52, 12]"
7,43.69747899159664,30.1745126955211,1.3429998790516573,6187,238,RPT + W2V,9,"[301, 52, 12]"
8,51.449275362318836,35.37206754598059,1.827261045359183,6287,138,RPT + W2V,9,"[301, 52, 12]"
0,49.11014911014911,31.978535066558187,1.5407008000610538,4346,2079,RPT + W2V,9,"[301, 52]"
1,50.743657042869636,33.111626392466334,3.429413436696077,5282,1143,RPT + W2V,9,"[301, 52]"
2,49.89339019189765,32.44044926880748,0.7441892480291029,5956,469,RPT + W2V,9,"[301, 52]"
3,51.12359550561798,33.58356998806436,0.70501974834485,5535,890,RPT + W2V,9,"[301, 52]"
4,48.976248976248975,31.90077008258832,5.697456850124909,5204,1221,RPT + W2V,9,"[301, 52]"
5,42.857142857142854,29.87012987012987,0.7110444903373718,6411,14,RPT + W2V,9,"[301, 52]"
6,51.931330472103,33.99843837612079,0.6831786752770387,6192,233,RPT + W2V,9,"[301, 52]"
7,47.05882352941176,31.474552524972697,2.296914758802462,6187,238,RPT + W2V,9,"[301, 52]"
8,51.449275362318836,33.97809919549049,0.7803400323010873,6287,138,RPT + W2V,9,"[301, 52]"
0,52.38095238095239,33.4199475902218,0.7180033350231672,4346,2079,RPT + W2V,9,"[301, 30, 5]"
1,48.118985126859144,31.689578041284108,0.7553986552923474,5282,1143,RPT + W2V,9,"[301, 30, 5]"
2,52.02558635394456,33.261739445108304,0.7118680118751932,5956,469,RPT + W2V,9,"[301, 30, 5]"
3,47.52808988764045,29.717902571835104,0.8343078177296713,5535,890,RPT + W2V,9,"[301, 30, 5]"
4,49.221949221949224,31.774070864980015,1.8836407445670151,5204,1221,RPT + W2V,9,"[301, 30, 5]"
5,35.714285714285715,25.714285714285715,0.6904027206557137,6411,14,RPT + W2V,9,"[301, 30, 5]"
6,47.63948497854077,31.265348861915395,0.7178428830506975,6192,233,RPT + W2V,9,"[301, 30, 5]"
7,50.42016806722689,33.24975677916855,0.7039130956184965,6187,238,RPT + W2V,9,"[301, 30, 5]"
8,50.0,33.0193478019565,0.720720913099206,6287,138,RPT + W2V,9,"[301, 30, 5]"
